分隊,人員數,大隊,備註,無里轄區時歸屬區
後壁分隊,16,第一大隊,,
新營分隊,22,第一大隊,,
東原分隊,14,第一大隊,,
東山分隊,16,第一大隊,,
柳營分隊,16,第一大隊,,
白河分隊,16,第一大隊,,
關嶺分隊,13,第一大隊,山區,
鹽水分隊,16,第一大隊,,
中正分隊,21,第七大隊,,
南門分隊,22,第七大隊,,
崇善分隊,19,第七大隊,,
後甲分隊,21,第七大隊,,
德興分隊,20,第七大隊,,
東門分隊,19,第七大隊,,
灣裡分隊,19,第七大隊,,
七股分隊,16,第三大隊,,
佳里分隊,20,第三大隊,,
北門分隊,16,第三大隊,,
學甲分隊,15,第三大隊,,
將軍分隊,16,第三大隊,,
西港分隊,17,第三大隊,,
下營分隊,18,第二大隊,,
六甲分隊,17,第二大隊,,
南化分隊,13,第二大隊,,
官田分隊,17,第二大隊,,
楠西分隊,13,第二大隊,,
玉井分隊,15,第二大隊,,
麻豆分隊,22,第二大隊,,
仁德分隊,19,第五大隊,,
保西分隊,17,第五大隊,,
大灣分隊,18,第五大隊,,
復興分隊,21,第五大隊,,
文賢分隊,17,第五大隊,,
歸仁分隊,20,第五大隊,,
永康分隊,20,第五大隊,,
關廟分隊,21,第五大隊,兼轄龍崎,
鹽行分隊,21,第五大隊,,
公園分隊,23,第六大隊,,
和緯分隊,22,第六大隊,,
土城分隊,18,第六大隊,,
安南分隊,21,第六大隊,,
安和分隊,19,第六大隊,,
安平分隊,21,第六大隊,,
永華分隊,21,第六大隊,,
南科分隊,21,第四大隊,南科園區,善化區
善化分隊,19,第四大隊,,
大內分隊,13,第四大隊,,
安定分隊,19,第四大隊,,
山上分隊,16,第四大隊,,
左鎮分隊,14,第四大隊,,
新化分隊,19,第四大隊,,
新市分隊,19,第四大隊,,
