區,里,里代碼,分隊
新營區,忠政里,67000010001,新營分隊
新營區,民權里,67000010002,新營分隊
新營區,三仙里,67000010003,新營分隊
新營區,大宏里,67000010007,新營分隊
新營區,王公里,67000010008,新營分隊
新營區,中營里,67000010009,新營分隊
新營區,土庫里,67000010010,新營分隊
新營區,南興里,67000010012,新營分隊
新營區,興業里,67000010013,新營分隊
新營區,民生里,67000010014,新營分隊
新營區,民榮里,67000010015,新營分隊
新營區,埤寮里,67000010016,新營分隊
新營區,護鎮里,67000010017,新營分隊
新營區,太南里,67000010018,新營分隊
新營區,太北里,67000010019,新營分隊
新營區,南紙里,67000010020,新營分隊
新營區,嘉芳里,67000010021,新營分隊
新營區,五興里,67000010025,新營分隊
新營區,姑爺里,67000010026,新營分隊
新營區,新北里,67000010027,新營分隊
新營區,新南里,67000010028,新營分隊
新營區,新東里,67000010029,新營分隊
新營區,永平里,67000010030,新營分隊
柳營區,士林里,67000040001,柳營分隊
柳營區,光福里,67000040002,柳營分隊
柳營區,中埕里,67000040003,柳營分隊
柳營區,東昇里,67000040004,柳營分隊
柳營區,八翁里,67000040005,柳營分隊
柳營區,人和里,67000040006,柳營分隊
柳營區,太康里,67000040007,柳營分隊
柳營區,重溪里,67000040008,柳營分隊
柳營區,篤農里,67000040009,柳營分隊
柳營區,大農里,67000040010,柳營分隊
柳營區,神農里,67000040011,柳營分隊
柳營區,果毅里,67000040012,柳營分隊
柳營區,旭山里,67000040013,柳營分隊
鹽水區,水秀里,67000020001,鹽水分隊
鹽水區,橋南里,67000020008,鹽水分隊
鹽水區,汫水里,67000020010,鹽水分隊
鹽水區,岸內里,67000020011,鹽水分隊
鹽水區,歡雅里,67000020014,鹽水分隊
鹽水區,津城里,67000020026,鹽水分隊
鹽水區,月港里,67000020027,鹽水分隊
鹽水區,三明里,67000020028,鹽水分隊
鹽水區,義中里,67000020029,鹽水分隊
鹽水區,文昌里,67000020030,鹽水分隊
鹽水區,竹林里,67000020031,鹽水分隊
鹽水區,三和里,67000020032,鹽水分隊
鹽水區,坔頭港里,67000020033,鹽水分隊
白河區,白河里,67000030001,白河分隊
白河區,永安里,67000030002,白河分隊
白河區,外角里,67000030003,白河分隊
白河區,庄內里,67000030004,白河分隊
白河區,秀祐里,67000030005,白河分隊
白河區,河東里,67000030006,白河分隊
白河區,虎山里,67000030007,白河分隊
白河區,大林里,67000030008,白河分隊
白河區,崁頭里,67000030009,白河分隊
白河區,六溪里,67000030010,白河分隊
白河區,大竹里,67000030014,白河分隊
白河區,竹門里,67000030018,白河分隊
白河區,崎內里,67000030019,白河分隊
白河區,昇安里,67000030020,白河分隊
白河區,汴頭里,67000030021,白河分隊
白河區,內角里,67000030022,白河分隊
白河區,詔豐里,67000030025,白河分隊
白河區,廣蓮里,67000030026,白河分隊
白河區,馬稠後里,67000030027,白河分隊
白河區,仙草里,67000030011,關嶺分隊
白河區,關嶺里,67000030012,關嶺分隊
後壁區,後壁里,67000050001,後壁分隊
後壁區,侯伯里,67000050002,後壁分隊
後壁區,嘉苳里,67000050003,後壁分隊
後壁區,土溝里,67000050004,後壁分隊
後壁區,竹新里,67000050010,後壁分隊
後壁區,新東里,67000050011,後壁分隊
後壁區,頂安里,67000050012,後壁分隊
後壁區,長安里,67000050013,後壁分隊
後壁區,福安里,67000050014,後壁分隊
後壁區,菁寮里,67000050018,後壁分隊
後壁區,新嘉里,67000050019,後壁分隊
後壁區,長短樹里,67000050022,後壁分隊
後壁區,上茄苳里,67000050023,後壁分隊
後壁區,菁豐里,67000050024,後壁分隊
東山區,林安里,67000060010,東原分隊
東山區,東原里,67000060011,東原分隊
東山區,嶺南里,67000060012,東原分隊
東山區,南勢里,67000060013,東原分隊
東山區,青山里,67000060014,東原分隊
東山區,高原里,67000060015,東原分隊
東山區,東山里,67000060001,東山分隊
東山區,東中里,67000060002,東山分隊
東山區,東正里,67000060003,東山分隊
東山區,三榮里,67000060004,東山分隊
東山區,大客里,67000060005,東山分隊
東山區,科里里,67000060006,東山分隊
東山區,東河里,67000060007,東山分隊
東山區,南溪里,67000060008,東山分隊
東山區,水雲里,67000060009,東山分隊
東山區,聖賢里,67000060016,東山分隊
麻豆區,東角里,67000070003,麻豆分隊
麻豆區,晋江里,67000070004,麻豆分隊
麻豆區,巷口里,67000070005,麻豆分隊
麻豆區,中興里,67000070006,麻豆分隊
麻豆區,興農里,67000070007,麻豆分隊
麻豆區,油車里,67000070009,麻豆分隊
麻豆區,北勢里,67000070010,麻豆分隊
麻豆區,大埕里,67000070011,麻豆分隊
麻豆區,南勢里,67000070014,麻豆分隊
麻豆區,寮廍里,67000070015,麻豆分隊
麻豆區,埤頭里,67000070017,麻豆分隊
麻豆區,海埔里,67000070019,麻豆分隊
麻豆區,港尾里,67000070021,麻豆分隊
麻豆區,麻口里,67000070022,麻豆分隊
麻豆區,安業里,67000070024,麻豆分隊
麻豆區,安正里,67000070028,麻豆分隊
麻豆區,新興里,67000070030,麻豆分隊
麻豆區,謝厝寮里,67000070031,麻豆分隊
麻豆區,井東里,67000070032,麻豆分隊
麻豆區,清水里,67000070033,麻豆分隊
下營區,下營里,67000080001,下營分隊
下營區,仁里里,67000080002,下營分隊
下營區,宅內里,67000080003,下營分隊
下營區,後街里,67000080004,下營分隊
下營區,新興里,67000080005,下營分隊
下營區,營前里,67000080006,下營分隊
下營區,開化里,67000080011,下營分隊
下營區,西連里,67000080012,下營分隊
下營區,賀建里,67000080013,下營分隊
下營區,茅營里,67000080016,下營分隊
下營區,大吉里,67000080017,下營分隊
下營區,紅甲里,67000080018,下營分隊
六甲區,六甲里,67000090001,六甲分隊
六甲區,甲東里,67000090002,六甲分隊
六甲區,甲南里,67000090003,六甲分隊
六甲區,七甲里,67000090005,六甲分隊
六甲區,二甲里,67000090006,六甲分隊
六甲區,水林里,67000090007,六甲分隊
六甲區,中社里,67000090008,六甲分隊
六甲區,龜港里,67000090009,六甲分隊
六甲區,菁埔里,67000090010,六甲分隊
六甲區,王爺里,67000090011,六甲分隊
六甲區,大丘里,67000090012,六甲分隊
官田區,官田里,67000100001,官田分隊
官田區,二鎮里,67000100002,官田分隊
官田區,大崎里,67000100005,官田分隊
官田區,隆田里,67000100006,官田分隊
官田區,隆本里,67000100007,官田分隊
官田區,南廍里,67000100008,官田分隊
官田區,社子里,67000100013,官田分隊
官田區,烏山頭里,67000100014,官田分隊
官田區,渡拔里,67000100015,官田分隊
官田區,東庄里,67000100017,官田分隊
官田區,西庄里,67000100018,官田分隊
大內區,石湖里,67000110001,大內分隊
大內區,石林里,67000110002,大內分隊
大內區,石城里,67000110003,大內分隊
大內區,內江里,67000110004,大內分隊
大內區,大內里,67000110005,大內分隊
大內區,內郭里,67000110006,大內分隊
大內區,頭社里,67000110007,大內分隊
大內區,環湖里,67000110008,大內分隊
大內區,二溪里,67000110009,大內分隊
大內區,曲溪里,67000110010,大內分隊
玉井區,玉井里,67000230001,玉井分隊
玉井區,玉田里,67000230002,玉井分隊
玉井區,中正里,67000230003,玉井分隊
玉井區,竹圍里,67000230004,玉井分隊
玉井區,沙田里,67000230005,玉井分隊
玉井區,三埔里,67000230006,玉井分隊
玉井區,三和里,67000230007,玉井分隊
玉井區,望明里,67000230008,玉井分隊
玉井區,層林里,67000230009,玉井分隊
玉井區,豐里里,67000230010,玉井分隊
楠西區,楠西里,67000240001,楠西分隊
楠西區,灣丘里,67000240002,楠西分隊
楠西區,密枝里,67000240003,楠西分隊
楠西區,照興里,67000240004,楠西分隊
楠西區,鹿田里,67000240005,楠西分隊
楠西區,龜丹里,67000240006,楠西分隊
楠西區,東勢里,67000240007,楠西分隊
南化區,南化里,67000250001,南化分隊
南化區,小崙里,67000250002,南化分隊
南化區,中坑里,67000250003,南化分隊
南化區,北平里,67000250004,南化分隊
南化區,東和里,67000250005,南化分隊
南化區,西埔里,67000250006,南化分隊
南化區,北寮里,67000250007,南化分隊
南化區,玉山里,67000250008,南化分隊
南化區,關山里,67000250009,南化分隊
佳里區,東寧里,67000120001,佳里分隊
佳里區,忠仁里,67000120002,佳里分隊
佳里區,鎮山里,67000120003,佳里分隊
佳里區,建南里,67000120004,佳里分隊
佳里區,安西里,67000120005,佳里分隊
佳里區,六安里,67000120006,佳里分隊
佳里區,佳化里,67000120007,佳里分隊
佳里區,海澄里,67000120012,佳里分隊
佳里區,民安里,67000120019,佳里分隊
佳里區,子龍里,67000120020,佳里分隊
佳里區,營溪里,67000120022,佳里分隊
佳里區,文新里,67000120023,佳里分隊
佳里區,佳興里,67000120024,佳里分隊
佳里區,下營里,67000120025,佳里分隊
佳里區,塭內里,67000120026,佳里分隊
佳里區,南勢里,67000120027,佳里分隊
西港區,西港里,67000140001,西港分隊
西港區,南海里,67000140002,西港分隊
西港區,港東里,67000140003,西港分隊
西港區,檨林里,67000140004,西港分隊
西港區,後營里,67000140005,西港分隊
西港區,營西里,67000140006,西港分隊
西港區,金砂里,67000140007,西港分隊
西港區,劉厝里,67000140008,西港分隊
西港區,竹林里,67000140009,西港分隊
西港區,永樂里,67000140010,西港分隊
西港區,新復里,67000140011,西港分隊
西港區,慶安里,67000140012,西港分隊
七股區,後港里,67000150001,七股分隊
七股區,大潭里,67000150002,七股分隊
七股區,篤加里,67000150004,七股分隊
七股區,頂山里,67000150005,七股分隊
七股區,西寮里,67000150006,七股分隊
七股區,塩埕里,67000150007,七股分隊
七股區,龍山里,67000150008,七股分隊
七股區,溪南里,67000150009,七股分隊
七股區,七股里,67000150010,七股分隊
七股區,玉成里,67000150011,七股分隊
七股區,大埕里,67000150012,七股分隊
七股區,樹林里,67000150015,七股分隊
七股區,中寮里,67000150017,七股分隊
七股區,竹橋里,67000150018,七股分隊
七股區,義合里,67000150019,七股分隊
七股區,永吉里,67000150021,七股分隊
七股區,三股里,67000150022,七股分隊
七股區,十份里,67000150023,七股分隊
學甲區,仁得里,67000130001,學甲分隊
學甲區,新榮里,67000130002,學甲分隊
學甲區,光華里,67000130003,學甲分隊
學甲區,宅港里,67000130004,學甲分隊
學甲區,慈福里,67000130005,學甲分隊
學甲區,秀昌里,67000130006,學甲分隊
學甲區,明宜里,67000130007,學甲分隊
學甲區,豐和里,67000130008,學甲分隊
學甲區,平和里,67000130009,學甲分隊
學甲區,新達里,67000130010,學甲分隊
學甲區,大灣里,67000130011,學甲分隊
學甲區,三慶里,67000130012,學甲分隊
學甲區,中洲里,67000130013,學甲分隊
北門區,保吉里,67000170001,北門分隊
